status,current,target,score,secondScore,sourceTitle,reason
rename,Darkwing 22 Leave no one behind.mp4,Darkwing 22 - Leave No One Behind.mp4,1.000,0.923,VV#129 – Darkwing 22: Leave No One Behind,
skip,Darkwing 22 Leave_No_One_Behind2.mp4,Darkwing 22 - Leave No One Behind.mp4,0.984,0.899,VV#129 – Darkwing 22: Leave No One Behind,source missing or target exists at execution
skip,Darkwing 22Leave_no_one_behind.mp4,Darkwing 22 - Leave No One Behind.mp4,0.984,0.896,VV#129 – Darkwing 22: Leave No One Behind,source missing or target exists at execution
skip,Darkwing 3_-_Civilian_GuiseAAA.wmv,,0.800,0.638,,no high-confidence title match
skip,Darkwing 3_-_Civilian_GuiseAAA_20251121232838.mp4,,0.800,0.638,,no high-confidence title match
skip,Darkwing 5 Dark Deception (Peril)AAAAA.mp4,,0.754,0.714,,no high-confidence title match
skip,Darkwing 5_-_Dark_Deception.wmv,,0.800,0.694,,no high-confidence title match
skip,Darkwing 8 Takedown (Death Ending)AAAAA.mp4,,0.771,0.627,,no high-confidence title match
skip,Darkwing 8 Takedown Extreme_goodAAAAAA.mp4,,0.738,0.632,,no high-confidence title match
skip,Darkwing 9 Civilian guise.mp4,,0.696,0.638,,no high-confidence title match
rename,Darkwing 9_Defeated_VV.mp4,Darkwing 9 - Defeated.mp4,0.927,0.851,VV#38 – Darkwing 9: Defeated,
rename,Darkwing with_great_power.mp4,Darkwing 21 - With Great Power.mp4,0.943,0.847,VV#121 – Darkwing 21 – With Great Power,
skip,Darkwing25-VV-AAAAAA.mp4,,0.564,0.562,,no high-confidence title match
skip,Darkwing25-VV_2025112123625.mp4,,0.564,0.562,,no high-confidence title match
skip,DarkWondra 1 Collected.mp4,,0.960,0.960,,ambiguous title match
skip,DarkWondra 1.mp4,,0.960,0.960,,ambiguous title match
rename,Darkwondra 2_FRIEND OR FOE.mp4,Dark Wondra 2 - Friend or Foe.mp4,0.981,0.881,VV#54 – Dark Wondra 2: Friend or Foe?,
skip,DarkWondra 3 Power Drain VV#74.mp4,,0.703,0.557,,no high-confidence title match
skip,DarkWondra 4 Extreme.mp4,,0.667,0.667,,no high-confidence title match
rename,DarkWondra 4_Amazon_down.mp4,Dark Wondra 4 - Amazon Down.mp4,0.980,0.873,VV#97 – Dark Wondra 4: Amazon Down,
skip,DarkWondra_victory_or_down_good.mp4,,0.667,0.642,,no high-confidence title match
skip,Evidence_of_the_Crime.wmv,,0.840,0.681,,no high-confidence title match
skip,Fatal_Interruption.avi,,0.837,0.571,,no high-confidence title match
skip,Goldie Blair Shot In The Bathtub.mp4,,0.531,0.531,,no high-confidence title match
skip,Mystery_woman.mp4,,0.765,0.514,,no high-confidence title match
skip,Night Warrior.mp4,,0.571,0.564,,no high-confidence title match
skip,Scotland Yard Gold Cases - Fear Factor.mp4,,0.395,0.376,,no high-confidence title match
rename,Sexy_Spies_13_Password.wmv,Sexy Spies #13 - Password.wmv,1.000,0.588,Sexy Spies #13: Password,
skip,Sexy_Spies_1_The_Visitor.wmv,,0.833,0.717,,no high-confidence title match
skip,Sexy_Spies_2_Double_Cross.wmv,,0.833,0.613,,no high-confidence title match
skip,Sexy_Spies_3_White_Angel.wmv,,0.923,0.923,,ambiguous title match
skip,Sexy_Spies_4_Interrogation_Gone_Bad.wmv,,0.857,0.623,,no high-confidence title match
skip,Sexy_Spies_5_Vengeful_Visitation.wmv,,0.769,0.633,,no high-confidence title match
skip,Sexy_Spies_6_Final_Assignment.wmv,,0.833,0.596,,no high-confidence title match
skip,Sexy_Spies_7_W1nner_Take_All.wmv.mp4,,0.784,0.678,,no high-confidence title match
skip,Sexy_Spies_7_Winner_Take_All.wmv,,0.800,0.727,,no high-confidence title match
skip,Sierra Skye - Boob Zilla #4.mp4,,0.436,0.429,,no high-confidence title match
skip,Sierra Skye - Breast Fed #1.mp4,,0.500,0.480,,no high-confidence title match
skip,Sierra Skye - Cash For Chunkers.mp4,,0.485,0.481,,no high-confidence title match
skip,Sierra Skye - Do Over.mp4,,0.537,0.511,,no high-confidence title match
skip,Sierra Skye - My Sisters Hot Friend.mp4,,0.473,0.464,,no high-confidence title match
skip,Sierra Skye - Naughty Bookworms.mp4,,0.449,0.431,,no high-confidence title match
skip,Sierra Skye - Nurse Kills A Man! Then Fucks Him.mp4,,0.455,0.427,,no high-confidence title match
skip,Sierra Skye - Reach For The Skye.mp4,,0.522,0.500,,no high-confidence title match
skip,Sierra Skye - Solo.mp4,,0.474,0.474,,no high-confidence title match
skip,Sierra Skye - Stood Up Busty Cock Teaser Gets Even.mp4,,0.469,0.454,,no high-confidence title match
skip,Sierra Skye - Super Naturals 10.mp4,,0.479,0.440,,no high-confidence title match
skip,Sierra Skye - The Model And The Photographer PSTAAAAAA.mp4,,0.495,0.486,,no high-confidence title match
